"Thématiques","Critères","Accueil non connecté|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/login",Vos demandes|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier,Un dossier en cours|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier/O19-V7J-EJW,Une question ?|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/faq,"Mon profil|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/profil","Contact",Plan du site|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/plan,"Mentions légales","Accessibilité","CGU|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/conditions"
"6","1","nc|L'intitulé du lien ""cliquer ici"" près de ""Une question sur FranceConnect ?"" n'est pas pertinent. Il vaudrait mieux le supprimer et mettre le lien sur ""Une question sur FranceConnect ?""|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""Qu'est ce que FranceConnect ? – nouvelle fenêtre""`","nc|Les liens de la dernière colonne du tableau n'ont pas d'intitulé. Suggestion : remplacer par un lien texte explicite ""Voir le détail"". Note : l'intitulé de la colonne est ""Détail"" mais ce n'est perceptible que par les technologies d'assistance (utilisation de la classe CSS "".sr-only""). Voir aussi : [How to make a table row a link](https://robertcooper.me/post/table-row-links)","nc|Les liens ""Télécharger"" ne sont pas explicites (et il devraient être des éléments `<a>`et non `<p>`.","nc|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""Service-Public.fr – nouvelle fenêtre""`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","c|""RIE'AU : Retour à l'accueil"" n'est pas explicite (l'acronyme RIE'AU n'est pas compréhensible sans explication. On peut utiliser [`<abbr>`](https://developer.mozilla.org/fr/docs/Web/HTML/Element/abbr))|Si l'on suit le [Système de design de l'état](https://gouvfr.atlassian.net/wiki/spaces/DB/pages/222789846/En-t+te+-+Header), le logo GOUVERNEMENT ne doit pas avoir de lien vers l'accueil. Aussi (mineur), il faudrait écrire ""Gouvernement"" et non ""GOUVERNEMENT"", et utiliser le style CSS `text-transform: uppercase;`","nc|Les liens vers des pages s'ouvrant dans un nouvel onglet (`target=""_blank""`) ne sont pas suffisemment explicites, il faut ajouter un attribut `title=""--intitulé-- – nouvelle fenêtre""`, par exemple, `title=""La CNIL – nouvelle fenêtre""`"
"6","2","c",nc|Les liens de la dernière colonne du tableau n'ont pas d'intitulé.,c,c,"c","c",c,"c","c","c"
"7","1","s",nc|Les en-têtes du tableau triable ne sont pas compatible avec les technologies d'assistance : l'information du tri actuellement sélectionné n'est pas restituée aux technologies d'assistance. Penser à utiliser l'attribut `[aria-sort](https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Attributes/aria-sort)`.,"nc|Les liens ""Télécharger"" devraient être des éléments `<a>`et non `<p>`|""Voir plus de pièces jointes"" devrait être un élément `<button>`",nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.,"nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.","nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.",nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.,"nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.","nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide.","nc|Le menu mobile (_burger menu_) n'est pas compatible avec les technologies d'assistance. Se référer au [motif de conception _Menu button_](https://www.w3.org/TR/wai-aria-practices/#menubutton). Voir aussi l'exemple [Navigation Menu Button Example](https://www.w3.org/TR/wai-aria-practices/examples/menu-button/menu-button-links.html)|Note : le menu est vide."
"7","2","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche.","c|Si JavaScript est désactivé, une page blanche s'affiche."
"7","3","c","nc|Les lignes du tableau sont activables à la souris, focusables, mais pas activable au clavier (touche entré). Voir critère 7.1",c,c,"c","c",c,"c","c","c"
"7","4","c",c,c,c,"c","c",c,"c","c","c"
"7","5","na","nc|Le message de statut ""Une erreur inconnue est survenue"", en rouge, n'est pas conforme. Testé en déconnectant le réseau avant d'obtenir la réponse à la requête qui récupère la liste des demandes. Il faut ajouter un attribut `role=""alert""`. Peut-être également prévoir d'autres messages de statut pour le début et la fin du chargement (avec l'attribut `aria-live=""polite""`) Ne pas oublier que certaines personnes ont un débit internet limité.","nc|Le message de statut ""Une erreur inconnue est survenue"", en rouge, n'est pas conforme. Testé en déconnectant le réseau avant d'obtenir la réponse à la requête qui récupère la demande courante. Il faut ajouter un attribut `role=""alert""`. Peut-être également prévoir d'autres messages de statut pour le début et la fin du chargement (avec l'attribut `aria-live=""polite""`) Ne pas oublier que certaines personnes ont un débit internet limité.",na,"na","na",na,"na","na","na"
"8","1","c",c,c,c,"c","c",c,"c","c","c"
"8","2","nc|Le logo France Connect devrait être une image `<img>` et non une `<div>`",nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea),"nc|Les liens ""Télécharger"" devraient être des éléments `<a>` et non des éléments `<p>`. Inspiration possible sur le site de DesignGouv ([les modèles de rapports d'audit d'accessibilité](https://design.numerique.gouv.fr/outils/#audit) sont des documents téléchargeables). D'autres erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)",nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea),"nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)","nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)",nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea),"nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)","nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)","nc|Quelques erreurs détectées sur erreurs détectées sur [Nu Html Checker](https://validator.w3.org/nu/#textarea)"
"8","3","c",c,c,c,"c","c",c,"c","c","c"
